med_earn,geometry,city_name
32321,"list(c(-87.624332, -87.624165, -87.620993, -87.619375, -87.617759, -87.614528, -87.614675, -87.614819, -87.614958, -87.618154, -87.621386, -87.624546, -87.624332, 41.743655, 41.736299, 41.736406, 41.736431, 41.736455, 41.736503, 41.741984, 41.745638, 41.751114, 41.751063, 41.751007, 41.75096, 41.743655))",chi
34671,"list(c(-87.590622, -87.588713, -87.587452, -87.585144, -87.585414, -87.585435, -87.585443, -87.585492, -87.58553, -87.585567, -87.585677, -87.589269, -87.592797, -87.590622, 41.729522, 41.72622, 41.723266, 41.723296, 41.725985, 41.726903, 41.727814, 41.72961, 41.731448, 41.733281, 41.733266, 41.733219, 41.733159, 41.729522))",chi
54606,"list(c(-87.6405995862775, -87.640738, -87.644352, -87.645032, -87.647849, -87.64962, -87.649486, -87.64738, -87.645549, -87.644426, -87.642379, -87.642207, -87.64149512696, -87.6416322592798, -87.6418932716171, -87.6420199867522, -87.6420763389704, -87.6421273786434, -87.6421343416285, -87.642140972501, -87.642141828805, -87.6421367694123, -87.6421260972426, -87.6421101150236, -87.6420894203662, -87.6420648262257, -87.6420371491234, -87.6420074573238, -87.6419613437595, -87.6419152779393, -87.6418701025631, 
-87.6418264816774, -87.6417851462458, -87.6417775368844, -87.6416570939401, -87.6415397412315, -87.6414256643081, -87.6413285988978, -87.641315081066, -87.6412081747172, -87.641105162606, -87.6410307246935, -87.6409605453965, -87.6408947725421, -87.6408753362811, -87.6381313356812, -87.6381370139722, -87.6382192632395, -87.6383276383142, -87.6383874201729, -87.6384472022375, -87.6385031726955, -87.6385702694499, -87.6386374282842, -87.6386968717788, -87.6387527500824, -87.6388423171491, -87.6388943230789, 
-87.638942856688, -87.639013736354, -87.6390622394359, -87.6391144314163, -87.6391515921075, -87.6392038770114, -87.6392484452864, -87.6392968259913, -87.6393378299493, -87.6393937418399, -87.6394383110878, -87.6394905352226, -87.63952391581, -87.6395837329171, -87.639632114349, -87.6396805580187, -87.6397326283435, -87.6397923540276, -87.6398444552274, -87.6398853376476, -87.6399261581377, -87.6399596014774, -87.6399967955938, -87.6400302086354, -87.6400601181019, -87.6400860305963, -87.6401419761036, 
-87.6402238654034, -87.6402572173376, -87.6402905381677, -87.6403277948134, -87.6403460220902, -87.6403781630898, -87.6405826262656, -87.6405916416211, -87.6405995862775, 41.9536375832182, 41.953851, 41.952727, 41.952352, 41.951642, 41.951198, 41.947315, 41.947325, 41.947929, 41.946081, 41.946775, 41.946872, 41.9471623487704, 41.9472845344912, 41.9475309996268, 41.9476802794287, 41.9477619031038, 41.9478454140687, 41.9478576685535, 41.9478800458075, 41.9479029656791, 41.9479255741432, 41.9479470522293, 
41.94796663283, 41.9479835766832, 41.9479972871499, 41.9480072460972, 41.9480130774125, 41.9480146935149, 41.9480118911568, 41.9480047580143, 41.9479933817864, 41.947977984768, 41.9479745909958, 41.9479218623703, 41.9478653926684, 41.9478052930608, 41.947749440183, 41.9477416746387, 41.9476745923034, 41.9476042416654, 41.9475499242332, 41.9474925589168, 41.9474323104451, 41.9474122902188, 41.9484608600697, 41.9484727443538, 41.9486212173538, 41.9488210705175, 41.948932413771, 41.9490437569927, 41.9491550771139, 
41.9492949211787, 41.9494290743583, 41.9495717177812, 41.9496915741791, 41.9498685476171, 41.9499940720092, 41.9500882727146, 41.9502309851263, 41.9503280313394, 41.9504364825461, 41.9505249231706, 41.9506248379317, 41.9507332429803, 41.9508416710563, 41.9509272891021, 41.9510442996208, 41.9511527045946, 41.9512583100654, 41.9513438822423, 41.9514523790239, 41.9515608072256, 41.9516635440157, 41.951783376892, 41.9519004105161, 41.9520173977784, 41.9521143975861, 41.9522170884942, 41.9522969691461, 
41.9523825639286, 41.95246529012, 41.9525195387911, 41.9525908369665, 41.9527050018238, 41.9528876192368, 41.9529760364767, 41.9530672992627, 41.9531472028158, 41.9532241460258, 41.9532961728256, 41.953611432875, 41.9536124498235, 41.9536375832182))",chi
62745,"list(c(-87.641803, -87.641388, -87.641374, -87.641343, -87.639327, -87.637955, -87.638003, -87.637799, -87.638702, -87.639434, -87.641858, -87.641803, 41.934982, 41.934305, 41.933389, 41.93287, 41.93292, 41.932932, 41.934372, 41.936078, 41.936592, 41.936587, 41.936554, 41.934982))",chi
25571,"list(c(-87.722863, -87.72276, -87.717854, -87.712897, -87.712726, -87.712772, -87.71285, -87.712897, -87.71312, -87.718057, -87.722961, -87.722863, 41.782296, 41.778658, 41.778735, 41.778831, 41.778832, 41.779742, 41.782461, 41.786097, 41.786092, 41.786014, 41.785937, 41.782296))",chi
37500,"list(c(-87.706982, -87.704748, -87.70411, -87.703673, -87.70311, -87.701093, -87.698689, -87.698762, -87.698839, -87.698923, -87.698952, -87.699011, -87.699038, -87.699098, -87.699157, -87.704012, -87.70582, -87.706982, 41.98308, 41.975775, 41.973651, 41.972129, 41.970888, 41.968514, 41.968532, 41.970723, 41.973086, 41.975818, 41.976733, 41.978559, 41.97947, 41.981295, 41.983121, 41.983098, 41.983088, 41.98308))",chi
59500,"list(c(-87.634442, -87.634382, -87.634291, -87.634203, -87.631245, -87.629775, -87.629827, -87.629889, -87.629925, -87.629963, -87.629986, -87.630716, -87.633002, -87.634478, -87.634442, 41.902884, 41.901325, 41.898982, 41.896596, 41.896636, 41.896656, 41.898444, 41.900573, 41.901864, 41.903154, 41.903923, 41.903914, 41.903877, 41.903853, 41.902884))",chi
70290,"list(c(-87.629963, -87.629925, -87.629889, -87.629827, -87.629775, -87.628199, -87.628248, -87.628265, -87.628313, -87.628317, -87.628336, -87.628345, -87.628341, -87.628628, -87.628678, -87.629986, -87.629963, 41.903154, 41.901864, 41.900573, 41.898444, 41.896656, 41.896677, 41.898469, 41.89914, 41.900593, 41.90074, 41.901558, 41.901884, 41.90238, 41.90318, 41.903942, 41.903923, 41.903154))",chi
59938,"list(c(-87.656574, -87.656529, -87.656479, -87.653434, -87.650941, -87.650822, -87.650937, -87.651046, -87.656681, -87.656574, 41.863238, 41.861606, 41.859765, 41.859812, 41.859851, 41.859853, 41.863499, 41.867087, 41.866997, 41.863238))",chi
22460,"list(c(-87.561354, -87.561324, -87.561261, -87.561232, -87.556376, -87.552601, -87.551523, -87.551799, -87.55294, -87.553975, -87.554008, -87.554043, -87.554077, -87.554072, -87.558445, -87.561386, -87.561354, 41.749981, 41.748162, 41.744526, 41.742708, 41.742773, 41.742823, 41.742067, 41.743994, 41.744637, 41.744622, 41.746441, 41.74826, 41.750078, 41.751895, 41.751836, 41.751795, 41.749981))",chi
21121,"list(c(-87.605189, -87.605135, -87.605084, -87.601392, -87.598895, -87.598938, -87.598269, -87.597849, -87.597235, -87.599128, -87.601547, -87.602757, -87.603362, -87.605215, -87.605189, 41.749457, 41.747627, 41.745798, 41.745836, 41.745407, 41.745859, 41.745867, 41.747691, 41.751369, 41.751351, 41.751327, 41.751315, 41.751308, 41.751286, 41.749457))",chi
34819,"list(c(-87.6615705017944, -87.6623570669287, -87.6633644216982, -87.6643432185459, -87.668243, -87.669498, -87.67133, -87.670364, -87.670329, -87.670312, -87.670198, -87.666294, -87.665924, -87.663453, -87.6613254726181, -87.6614117203935, -87.6614293109946, -87.6615004334517, -87.6615707419905, -87.6616087621934, -87.66162119845, -87.6616048461459, -87.6615730135697, -87.6615705017944, 42.0133824930303, 42.015055, 42.017197, 42.0192782755457, 42.019214, 42.019364, 42.019374, 42.018358, 42.017056, 
42.015994, 42.012714, 42.01278, 42.012787, 42.01283, 42.0128614579828, 42.0130448580477, 42.0130607025876, 42.0131242068092, 42.0132302424155, 42.0132923464949, 42.0133204093785, 42.0133601600296, 42.0133814044273, 42.0133824930303))",chi
23182,"list(c(-87.72567, -87.720829, -87.72082, -87.720982, -87.725873, -87.72567, 41.880727, 41.880788, 41.881897, 41.888018, 41.887957, 41.880727))",chi
39750,"list(c(-87.576066, -87.575982, -87.571106, -87.566233, -87.566238, -87.566269, -87.566303, -87.566335, -87.566373, -87.571246, -87.572461, -87.57491, -87.576142, -87.576066, 41.755242, 41.751606, 41.751668, 41.751728, 41.752183, 41.753546, 41.755361, 41.757158, 41.758988, 41.758934, 41.75892, 41.758891, 41.758876, 41.755242))",chi
17379,"list(c(-87.710019, -87.709959, -87.70991, -87.70504, -87.705148, -87.705255, -87.710128, -87.710019, 41.848077, 41.846261, 41.84445, 41.844518, 41.84814, 41.851765, 41.851706, 41.848077))",chi
21974,"list(c(-87.705148, -87.70504, -87.702584, -87.700148, -87.700196, -87.700364, -87.701581, -87.702813, -87.705255, -87.705148, 41.84814, 41.844518, 41.844552, 41.844613, 41.846395, 41.851838, 41.851818, 41.851799, 41.851765, 41.84814))",chi
70068,"list(c(-87.648697, -87.648633, -87.648575, -87.648509, -87.647312, -87.64489, -87.643667, -87.643728, -87.643787, -87.643927, -87.648761, -87.648697, 41.92363, 41.921817, 41.919994, 41.91818, 41.918194, 41.918235, 41.918253, 41.920072, 41.921888, 41.925532, 41.925454, 41.92363))",chi
24200,"list(c(-87.730482, -87.730313, -87.729097, -87.725413, -87.725546, -87.725579, -87.72567, -87.730574, -87.730482, 41.877918, 41.873386, 41.873402, 41.873443, 41.877087, 41.87798, 41.880727, 41.880667, 41.877918))",chi
