med_earn,geometry,city_name
8329,"list(c(-93.2393, -93.2351, -93.232819, -93.230851, -93.234649, -93.236932, -93.2393, 44.980596, 44.978943, 44.981895, 44.984378, 44.986482, 44.983545, 44.980596))",mpls
72036,"list(list(c(-93.3184822995189, -93.318468, -93.3184803418147, -93.3184818172713, -93.3184822995189, 44.9869916402542, 44.986965, 44.987899181248, 44.9871415264711, 44.9869916402542)), list(c(-93.3184753049454, -93.318467, -93.3184616913557, -93.3184696010818, -93.318473220394, -93.3184753049454, 44.9904854893806, 44.991558, 44.9964342001136, 44.9934120295766, 44.9915557868486, 44.9904854893806)), list(c(-93.3184523720711, -93.318446, -93.3184495897984, -93.3184523720711, 44.9999945297378, 45.001041, 
45.0010573804931, 44.9999945297378)))",mpls
21441,"list(c(-93.294312, -93.294195, -93.286438, -93.284897, -93.274436, -93.274889, -93.284889, -93.286491, -93.29306, -93.294312, -93.294312, 45.009544, 45.005948, 45.005917, 45.005921, 45.005943, 45.013126, 45.013111, 45.013111, 45.013141, 45.013149, 45.009544))",mpls
33382,"list(c(-93.2527171430471, -93.252899, -93.257167, -93.2571702578595, -93.2527171430471, 44.8907130884217, 44.890717, 44.890715, 44.8907137213766, 44.8907130884217))",mpls
23625,"list(c(-93.294084, -93.294089, -93.287987, -93.286439, -93.286453, -93.286438, -93.294195, -93.294084, 45.002606, 44.999143, 44.999138, 44.999138, 45.002571, 45.005917, 45.005948, 45.002606))",mpls
44381,"list(c(-93.254936, -93.254929, -93.247322, -93.246063, -93.246056, -93.242249, -93.242256, -93.242264, -93.247345, -93.254929, -93.254936, 44.930531, 44.926935, 44.926941, 44.926931, 44.925129, 44.925114, 44.930511, 44.934116, 44.934116, 44.934139, 44.930531))",mpls
45051,"list(c(-93.242256, -93.242249, -93.237198, -93.233407, -93.232112, -93.232124, -93.227036, -93.223604, -93.226054, -93.228508, -93.232109, -93.242264, -93.242256, 44.930511, 44.925114, 44.925102, 44.925084, 44.925082, 44.926876, 44.92688, 44.926914, 44.930513, 44.934082, 44.93409, 44.934116, 44.930511))",mpls
58043,"list(c(-93.247513, -93.247139, -93.232361, -93.232338, -93.232315, -93.222878, -93.222862, -93.222839, -93.222847, -93.232211, -93.233464, -93.247269, -93.247307, -93.247307, -93.247322, -93.247513, 44.900906, 44.899647, 44.899891, 44.901699, 44.905338, 44.905373, 44.908989, 44.912613, 44.916401, 44.916421, 44.916405, 44.916054, 44.916056, 44.915076, 44.91066, 44.900906))",mpls
28902,"list(c(-93.262672, -93.261383, -93.256317, -93.252502, -93.252464, -93.252438, -93.252419, -93.252342, -93.257439, -93.259628, -93.262558, -93.262581, -93.262589, -93.262672, 44.948357, 44.948358, 44.948359, 44.948364, 44.951952, 44.953751, 44.955532, 44.959133, 44.959122, 44.959126, 44.959118, 44.955528, 44.953747, 44.948357))",mpls
58750,"list(c(-93.318871, -93.318855, -93.313774, -93.308701, -93.303581, -93.29847, -93.297981, -93.297966, -93.298401, -93.300049, -93.303162, -93.308746, -93.310699, -93.313843, -93.314049, -93.312173, -93.311646, -93.314278, -93.315071, -93.318901, -93.318871, 44.9179, 44.912449, 44.912403, 44.912365, 44.912347, 44.912334, 44.912331, 44.915108, 44.915955, 44.917007, 44.915596, 44.915443, 44.915871, 44.917988, 44.919174, 44.92237, 44.923023, 44.923294, 44.923458, 44.923336, 44.9179))",mpls
31418,"list(c(-93.3184803418147, -93.318468, -93.318468, -93.318468, -93.316101, -93.308288, -93.308258, -93.30822, -93.313354, -93.318467, -93.3184753049454, -93.3184803418147, 44.987899181248, 44.986965, 44.986699, 44.984051, 44.984018, 44.984511, 44.987892, 44.991505, 44.991528, 44.991558, 44.9904854893806, 44.987899181248))",mpls
