med_earn,geometry
59821,"list(c(-117.010629348083, -117.010810545189, -117.010885694655, -117.011113009604, -117.011271066493, -117.011509488285, -117.011415649546, -117.011272739898, -117.011044291341, -117.010783346762, -117.010666661924, -117.010568590144, -117.010570066723, -117.010574741863, -117.010579264931, -117.010583928628, -117.01058783984, -117.010629348083, 32.863172254225, 32.8631491877068, 32.8631310212099, 32.8630903430662, 32.8630978743877, 32.8628196868693, 32.8627943044514, 32.862755639283, 32.8625688354031, 
32.8625000154648, 32.8624374460041, 32.8624380498194, 32.862497546789, 32.8626760760397, 32.8628491601044, 32.8630276798046, 32.8631775395071, 32.863172254225))"
31121,"list(c(-116.547374170142, -116.549207737588, -116.547447118072, -116.545612922349, -116.547374170142, 32.6871690813334, 32.6860300070034, 32.6840544154356, 32.6851925340252, 32.6871690813334))"
49331,"list(c(-116.931919011323, -116.931919, -116.931658, -116.931492, -116.931490315022, -116.931040900794, -116.93119479122, -116.931440827402, -116.931626761317, -116.931919011323, 32.649612013916, 32.649612, 32.649388, 32.649178, 32.6491758682907, 32.6494719876194, 32.6496498716124, 32.6499342669144, 32.6498089505295, 32.649612013916))"
44309,"list(c(-116.932417983179, -116.932396543662, -116.932395020482, -116.932345400353, -116.932227151578, -116.931490315022, -116.931492, -116.931658, -116.931919, -116.931919011323, -116.932414572012, -116.932633393978, -116.932505625809, -116.932426483389, -116.932417983179, 32.648888482948, 32.6488643835951, 32.6488626591242, 32.6488068934251, 32.6486903584932, 32.6491758682907, 32.649178, 32.649388, 32.649612, 32.649612013916, 32.649278070122, 32.6491305995815, 32.6489879488503, 32.6488980300713, 
32.648888482948))"
25578,"list(c(-116.926837598798, -116.92572, -116.925664, -116.926848, -116.92707, -116.927316, -116.927527, -116.928025, -116.928276, -116.928335, -116.928315, -116.928311791206, -116.928284793116, -116.927783775543, -116.926835594717, -116.926340308013, -116.925673086483, -116.925669521991, -116.925657164997, -116.92565672712, -116.925656452592, -116.925643903966, -116.925631206512, -116.926368920529, -116.926837598798, 32.6119459937083, 32.610719, 32.610106, 32.609819, 32.609636, 32.609163, 32.609023, 
32.608996, 32.608886, 32.608771, 32.608232, 32.6082118865925, 32.6082121139198, 32.6082136038964, 32.6082133128293, 32.6082131514169, 32.6082129218316, 32.6086288958793, 32.6100676888172, 32.6101189684471, 32.6101503366897, 32.6116114475696, 32.6119470052774, 32.6119463830533, 32.6119459937083))"
54078,"list(c(-116.93083229362, -116.930825923393, -116.93082047869, -116.930820450519, -116.929505099795, -116.928383364062, -116.928311791206, -116.928315, -116.928335, -116.928276, -116.928025, -116.927527, -116.927316, -116.92707, -116.926848, -116.925664, -116.92572, -116.926837598798, -116.927783471014, -116.927786252048, -116.929137184122, -116.929149026111, -116.929149089357, -116.929516060843, -116.931639887109, -116.932132665383, -116.932169951415, -116.93217469034, -116.932180642889, -116.932186394934, 
-116.932189854737, -116.932193322912, -116.932910887393, -116.932445380524, -116.932399913758, -116.93241706352, -116.933268736215, -116.933418948484, -116.933949576077, -116.934010854407, -116.933706306881, -116.933577361323, -116.933497217562, -116.933485747071, -116.933406342397, -116.933233763242, -116.932980748749, -116.931648600106, -116.931636765253, -116.931475900312, -116.93083229362, 32.6047667142794, 32.6066111013541, 32.6081859377168, 32.6081928090102, 32.6082017846689, 32.6082112839121, 
32.6082118865925, 32.608232, 32.608771, 32.608886, 32.608996, 32.609023, 32.609163, 32.609636, 32.609819, 32.610106, 32.610719, 32.6119459937083, 32.6119452026435, 32.6110719811762, 32.61107828389, 32.6100997644437, 32.6100942692462, 32.6100977403855, 32.6101107401621, 32.6101088837207, 32.6089305476721, 32.6087809456763, 32.6085930104378, 32.6084110658826, 32.6083017289734, 32.6081920058604, 32.6081825350734, 32.6071049465301, 32.606994841066, 32.6069904096849, 32.6067699932618, 32.6067311199799, 
32.6065937974326, 32.6065779325302, 32.6058350131349, 32.6055204383628, 32.6053249512194, 32.6052969552008, 32.6051032455881, 32.6046822780015, 32.6047531964142, 32.6051430441731, 32.605146515686, 32.6047568874493, 32.6047667142794))"
86544,"list(c(-117.229031, -117.228663, -117.228238, -117.226803, -117.224421, -117.221959, -117.219503, -117.217061, -117.214056, -117.213269, -117.212765, -117.213697, -117.218415, -117.221559, -117.22773, -117.229712, -117.229031, 32.954092, 32.949174, 32.9485, 32.947144, 32.946023, 32.946003, 32.945989, 32.945252, 32.948028, 32.949664, 32.951231, 32.955702, 32.955707, 32.956189, 32.956186, 32.955551, 32.954092))"
41892,"list(c(-117.238398, -117.237199, -117.235423, -117.234617, -117.230868, -117.229956, -117.231107, -117.231326, -117.231688, -117.238989, -117.238398, 32.798279, 32.794372, 32.794749, 32.795151, 32.795986, 32.796197, 32.799879, 32.800609, 32.801807, 32.800201, 32.798279))"
53244,"list(c(-117.170501, -117.168863, -117.167427, -117.165726, -117.162995, -117.159408, -117.159399, -117.163028, -117.16575, -117.167785, -117.169468, -117.170501, 32.730507, 32.728638, 32.727039, 32.727186, 32.727198, 32.727213, 32.731394, 32.731373, 32.731355, 32.731329, 32.73083, 32.730507))"
43797,"list(c(-117.257703107397, -117.255486, -117.246361, -117.247794, -117.253264, -117.256916, -117.259292293106, -117.259287848531, -117.259281233306, -117.259279938167, -117.259274629481, -117.259268025312, -117.259261445075, -117.259254829866, -117.259248272886, -117.259241692316, -117.259235147551, -117.259228567323, -117.259222021402, -117.259215475828, -117.259208977433, -117.25920243267, -117.259195922076, -117.259189411958, -117.259182901376, -117.259176402533, -117.259169927403, -117.259163464011, 
-117.259156988884, -117.259150525031, -117.259144084889, -117.259137621157, -117.259131192884, -117.259124752638, -117.259118323665, -117.259111930606, -117.259105501747, -117.259099108464, -117.259092715183, -117.259086356767, -117.259079962904, -117.25907360461, -117.259067246199, -117.25906088757, -117.259054540553, -117.259048217247, -117.259041858505, -117.259035570074, -117.25902927002, -117.259022946611, -117.259016635061, -117.259010346401, -117.259004069843, -117.258997793279, -117.258991539496, 
-117.258985263046, -117.258979021131, -117.258972779563, -117.258966572971, -117.258960331061, -117.258954113083, -117.258947918471, -117.258941711547, -117.258935504625, -117.2589293335, -117.258923137971, -117.258916966849, -117.258910794916, -117.258904670168, -117.258898498714, -117.258892373969, -117.258886248881, -117.258880111937, -117.258873986742, -117.258867897461, -117.258861796318, -117.258855706227, -117.258849615792, -117.258843549296, -117.258837471413, -117.258831417006, -117.258825361905, 
-117.258819307163, -117.258813287047, -117.2588072674, -117.25880122439, -117.258795239735, -117.258789220093, -117.258783211732, -117.258777227082, -117.258771253816, -117.258765269059, -117.258759331252, -117.258753346492, -117.258747409026, -117.258741470419, -117.258735532729, -117.25872962992, -117.258723714783, -117.258717776996, -117.258711874412, -117.258706006473, -117.258700103546, -117.258694246771, -117.258688378836, -117.258682511022, -117.258676643083, -117.258670821999, -117.258664954071, 
-117.258659120898, -117.2586533348, -117.258647502664, -117.25864171657, -117.258635894682, -117.258630097194, -117.258624346196, -117.258618560108, -117.258612808656, -117.258607046163, -117.258601295062, -117.258595543615, -117.258589793212, -117.258584076868, -117.258578360408, -117.258572645109, -117.258566940854, -117.258561259269, -117.258555578618, -117.258549909349, -117.258544216498, -117.258538581876, -117.258532913425, -117.258527266942, -117.258521633027, -117.258516010146, -117.258510399124, 
-117.25850475335, -117.258499178125, -117.258493567107, -117.258487991072, -117.258482379947, -117.258476827506, -117.258471263679, -117.258465699514, -117.258460135579, -117.258454606627, -117.258449076973, -117.258443547678, -117.258438031051, -117.25843253674, -117.258427007567, -117.258421525808, -117.258416031282, -117.258410548704, -117.258405101364, -117.258399642865, -117.258394194935, -117.258388747938, -117.258383300832, -117.258377853492, -117.258372464962, -117.258367052496, -117.258361640378, 
-117.258356228025, -117.258350862755, -117.258345450633, -117.258340108136, -117.258334731254, -117.258329365168, -117.25832402349, -117.258318681007, -117.258313362923, -117.258308009047, -117.258302713406, -117.258297406834, -117.258292098994, -117.258286815906, -117.258281508883, -117.25827624823, -117.258270988393, -117.258265727744, -117.258260467096, -117.258255242244, -117.258249981599, -117.25824475664, -117.258239531793, -117.258234341114, -117.25822912732, -117.258223949661, -117.258218747259, 
-117.2582135574, -117.258208413566, -117.258203235464, -117.258198080252, -117.25819293643, -117.258187781213, -117.258182673417, -117.258177530075, -117.258172421232, -117.258167336693, -117.258162240064, -117.258157119498, -117.258152046353, -117.258146972973, -117.258141899941, -117.258136873638, -117.258131811659, -117.258126762105, -117.258121723722, -117.258116697424, -117.258111694024, -117.258106690507, -117.258101699312, -117.258096696612, -117.25809170426, -117.258086747932, -117.258081780335, 
-117.258076788691, -117.258071855849, -117.258066910806, -117.258061989466, -117.2580570564, -117.258052135648, -117.258047213974, -117.258042327621, -117.258037418042, -117.258032519846, -117.258027645361, -117.258022794468, -117.258017920104, -117.258013068063, -117.258008228556, -117.258003377669, -117.257998561426, -117.257993722049, -117.257988918004, -117.257984101765, -117.257979332236, -117.257974528202, -117.257969758337, -117.257964977077, -117.257960208028, -117.257955438981, -117.257950704094, 
-117.257945970029, -117.257941247017, -117.257936513066, -117.257931778888, -117.257928278628, -117.257927685151, -117.257927079472, -117.257922392479, -117.257917693176, -117.257913016652, -117.257908340942, -117.257903677319, -117.25789902428, -117.257894360777, -117.257889719826, -117.257883903462, -117.257878269153, -117.257872670647, -117.257867059822, -117.257861436797, -117.257855861887, -117.257850262456, -117.25784466384, -117.257839064413, -117.257833489392, -117.257827901356, -117.257822337617, 
-117.257816762601, -117.257811186663, -117.257805634318, -117.257800070467, -117.257794518125, -117.257788954506, -117.257783425531, -117.257766815589, -117.257761286848, -117.257755757881, -117.257750240414, -117.257744722949, -117.257739206188, -117.257733700937, -117.257728194747, -117.257722701701, -117.257717207725, -117.257711713633, -117.257706231863, -117.25770074928, -117.257695278902, -117.257689808415, -117.257684337922, -117.257678867439, -117.257673409269, -117.257667961559, -117.257662514553, 
-117.257657067667, -117.257651620775, -117.257646185163, -117.257640749671, -117.257635314876, -117.257629890657, -117.257624467144, -117.257619055132, -117.257613643121, -117.257608243313, -117.257602831195, -117.257597441857, -117.257592042054, -117.257586653524, -117.257585134094, -117.257581264894, -117.257575887756, -117.257570510627, -117.257565134196, -117.257559768459, -117.25755440342, -117.25754903839, -117.257543684743, -117.257538342486, -117.257532988849, -117.257527647409, -117.257522305047, 
-117.257516974998, -117.257511644841, -117.257506314686, -117.257500996735, -117.257495677971, -117.257490371412, -117.257485063922, -117.257479757366, -117.257474462082, -117.257469167731, -117.257463872458, -117.257458588567, -117.2574533055, -117.257448033815, -117.257442762021, -117.257437490347, -117.257432229945, -117.257426958156, -117.25742170996, -117.257416461765, -117.257411213572, -117.257405964567, -117.257403925406, -117.257712795098, -117.257688431276, -117.258161169267, -117.258143633066, 
-117.258184756504, -117.258363356905, -117.258346910499, -117.258173084981, -117.258094608538, -117.258079342556, -117.258077181031, -117.257703107397, 32.7959368089343, 32.796558, 32.79857, 32.803231, 32.802026, 32.801219, 32.8007422014727, 32.8007337840142, 32.8007212332867, 32.8007187585066, 32.8007086831528, 32.8006961027874, 32.8006835517728, 32.800671001731, 32.8006584209788, 32.8006458404192, 32.8006332602536, 32.8006207092373, 32.8006080988466, 32.8005955186866, 32.8005829374535, 32.8005703565991, 
32.8005577754651, 32.80054516478, 32.8005325843323, 32.8005199632474, 32.8005073522753, 32.800494771441, 32.8004821604682, 32.8004695390959, 32.8004569278366, 32.8004443167697, 32.8004316758658, 32.8004190549864, 32.8004064237076, 32.8003938024418, 32.8003811807813, 32.8003685395898, 32.800355898398, 32.8003432466138, 32.8003306253531, 32.8003179838744, 32.8003053320893, 32.8002926610658, 32.800280009187, 32.800267367421, 32.8002546860906, 32.800242034419, 32.8002293622281, 32.8002167108419, 32.8002040291245, 
32.8001913568395, 32.8001786755226, 32.8001659935183, 32.8001533113275, 32.8001406389416, 32.8001279271063, 32.8001152455019, 32.8001025629242, 32.8000898510881, 32.8000771686028, 32.8000644659993, 32.8000517538763, 32.800039041753, 32.8000263293369, 32.8000136171198, 32.800000904703, 32.7999881922926, 32.7999754794962, 32.7999627375345, 32.7999500247375, 32.7999372817091, 32.7999245690112, 32.7999118163632, 32.7998990737285, 32.7998863607372, 32.7998736181084, 32.7998608452483, 32.7998481024261, 
32.7998353596968, 32.7998226064683, 32.7998098635522, 32.7997970807791, 32.7997843375765, 32.7997715641359, 32.7997588108129, 32.7997460377729, 32.7997332643315, 32.7997204811776, 32.7997077081367, 32.7996949343155, 32.7996821516551, 32.7996693479967, 32.7996565646486, 32.7996437905337, 32.7996309875681, 32.7996181935276, 32.799605390269, 32.7995925761167, 32.7995797731434, 32.799566989122, 32.7995541752703, 32.7995413610172, 32.7995285271469, 32.7995157132945, 32.7995029097478, 32.7994900952077, 
32.7994772514248, 32.7994644375713, 32.7994516035065, 32.799438759437, 32.7994259446031, 32.7994131005331, 32.7994002567552, 32.7993874120906, 32.7993745773529, 32.7993617332818, 32.7993488586934, 32.799336014429, 32.7993231700712, 32.7993102954822, 32.7992974408112, 32.7992845762417, 32.799271701366, 32.7992588567145, 32.7992459817385, 32.7992330969572, 32.7992202224751, 32.7992073472126, 32.7991944728296, 32.7991815677367, 32.7991686924667, 32.7991558170171, 32.7991429022978, 32.799130027342, 32.7991171220551, 
32.7991042369787, 32.7990913313989, 32.7990784261113, 32.7990655205376, 32.7990526056304, 32.7990396998635, 32.7990267941894, 32.799013858971, 32.7990009436773, 32.7989880280977, 32.7989751221434, 32.7989621763322, 32.7989492709582, 32.7989363248607, 32.7989233893548, 32.7989104733882, 32.798897508052, 32.7988845914046, 32.7988716256824, 32.7988586799782, 32.7988457335002, 32.7988327973214, 32.7988198515233, 32.798806885113, 32.798793938836, 32.7987809625204, 32.7987680164357, 32.7987550497386, 32.798742073724, 
32.7987291269515, 32.7987161500632, 32.7987031542158, 32.7986901775198, 32.7986772006242, 32.7986642244222, 32.7986512473334, 32.7986382705368, 32.7986252637175, 32.7986122968411, 32.798599290121, 32.7985863134325, 32.7985733067054, 32.7985602995992, 32.7985472924862, 32.7985342853796, 32.7985212782728, 32.7985082708734, 32.7984952637662, 32.7984822467473, 32.7984692393473, 32.798456231668, 32.7984431946304, 32.7984301868443, 32.7984171497134, 32.7984041420265, 32.7983911037297, 32.7983780567797, 
32.7983650192625, 32.798351981652, 32.7983389434472, 32.7983259254691, 32.7983128583073, 32.7982998197233, 32.7982867720078, 32.7982737340107, 32.798260665975, 32.7982476181659, 32.7982345497444, 32.7982215115538, 32.7982084331276, 32.7981953652996, 32.7981823166096, 32.7981692485885, 32.7981561701615, 32.7981431018544, 32.7981300232409, 32.7981169548337, 32.7981038762131, 32.798090777581, 32.7980776985815, 32.7980646299808, 32.7980515217224, 32.7980384329107, 32.7980253441983, 32.7980122649121, 
32.7979991561746, 32.7979860569564, 32.7979729481255, 32.7979598685529, 32.797946750003, 32.7979336306729, 32.797920521456, 32.7979074120463, 32.797894313135, 32.7978811741875, 32.7978680639971, 32.7978549545867, 32.7978418153463, 32.7978287161485, 32.797815576121, 32.7978024368801, 32.7977893268044, 32.7977761874635, 32.7977630478434, 32.797749907629, 32.7977367680019, 32.7977236283746, 32.7977104877811, 32.7976973478678, 32.7976841783173, 32.7976710480226, 32.7976578978028, 32.7976480646168, 32.7976463962881, 
32.7976447280591, 32.7976315774536, 32.7976184173286, 32.7976052570174, 32.7975920966994, 32.7975789259756, 32.7975657558522, 32.7975525954341, 32.7975394149047, 32.7975259670563, 32.7975130715523, 32.7975001764429, 32.7974872711268, 32.7974743659101, 32.7974614706073, 32.7974485651975, 32.7974356597808, 32.7974227543704, 32.7974098487606, 32.7973969432567, 32.7973840279344, 32.7973711223238, 32.7973582071006, 32.7973452916845, 32.7973323660552, 32.7973194506386, 32.7973065449338, 32.797293609399, 
32.7972548524551, 32.7972419368445, 32.7972290013086, 32.7972160752984, 32.797203149288, 32.7971902136517, 32.7971772882282, 32.7971643518181, 32.7971514262945, 32.7971384904713, 32.7971255443418, 32.7971126084185, 32.7970996725015, 32.7970867364848, 32.7970737908487, 32.7970608445255, 32.7970478988889, 32.7970349627716, 32.7970220162616, 32.7970090601258, 32.7969961142958, 32.7969831677784, 32.7969702115489, 32.7969572656252, 32.7969443093885, 32.7969313530653, 32.7969183871162, 32.796905430693, 
32.7968924742694, 32.7968795177461, 32.7968665517031, 32.7968535854739, 32.7968406289499, 32.7968276620265, 32.7968239913836, 32.7968146861711, 32.7968017191543, 32.7967887528244, 32.7967757761815, 32.7967628097582, 32.7967498330219, 32.7967368569724, 32.7967238801428, 32.7967109032199, 32.7966979270768, 32.7966849501469, 32.7966719636043, 32.7966589865809, 32.7966459999382, 32.7966330132954, 32.7966200265527, 32.7966070398165, 32.7965940529804, 32.7965810558446, 32.7965680690081, 32.7965550717724, 
32.7965420848358, 32.7965290882866, 32.7965160909572, 32.7965030943081, 32.7964900968787, 32.79647708983, 32.7964640930872, 32.7964510859451, 32.7964380788958, 32.7964250716537, 32.7964120644114, 32.7963990571689, 32.7963860499328, 32.7963809673434, 32.7963144534492, 32.7962363031138, 32.7961311917812, 32.7960606981783, 32.7959991420099, 32.7959598761461, 32.7959161964961, 32.7959544931448, 32.7959174590982, 32.7958639775949, 32.7958563811007, 32.7959368089343))"
